NumberOfExample,AverageQuadraticErrorTest,AverageQuadraticErrorLearning,MistakePerEpochTest,MistakePerEpochLearning
105000.0,12.06761540536269,12.554834997271543,14.583333333333334,15.227083333333333
110000.0,12.01425401676947,12.570853262811612,14.7,15.258333333333333
115000.0,12.433162611811365,13.070572468243244,14.475,15.608333333333333
120000.0,12.389378699829486,12.942832696607034,15.216666666666667,15.772916666666667
125000.0,12.243794750875669,12.610707325816156,14.808333333333334,15.233333333333333
130000.0,12.477336086815438,13.006719580753575,15.125,15.947916666666668
135000.0,12.033672102154904,12.48051910753615,14.549999999999999,15.022916666666667
140000.0,11.85830206591341,12.422796428238387,14.341666666666667,15.202083333333333
145000.0,11.622111660301597,12.07499055601367,13.8,14.727083333333333
150000.0,12.038035046961456,12.453933442372414,14.658333333333335,15.075
155000.0,12.062993030242252,12.374743820459488,14.424999999999999,14.652083333333332
160000.0,11.348870073739208,11.867975705524545,13.641666666666666,14.352083333333333
165000.0,11.516568725990375,11.976421713122349,14.241666666666667,14.914583333333335
170000.0,11.667925479487602,12.220378727510127,14.299999999999999,15.110416666666667
175000.0,11.50660843002253,11.969476004867275,14.191666666666666,14.591666666666667
180000.0,11.677635086099148,12.055875613373011,14.291666666666666,14.789583333333333
185000.0,11.884301423095152,12.36932684172682,14.583333333333334,15.147916666666667
190000.0,11.398798760523398,11.723736852914751,14.083333333333334,14.497916666666665
195000.0,11.213736908992168,11.579330717008322,13.758333333333333,14.208333333333334
0.0,186.35839132837862,186.4390190383661,90.35833333333333,90.04583333333333
5000.0,40.256795919350054,40.343287538022246,56.325,56.68541666666667
10000.0,29.45837502936054,29.75912632767679,33.83333333333333,34.75
15000.0,22.53593954688261,23.030359867821566,22.916666666666664,24.470833333333335
20000.0,20.06962419104374,20.607453193301208,20.033333333333335,20.5625
25000.0,18.911226210450096,19.57487121276745,18.833333333333332,19.895833333333332
30000.0,16.573183063733417,17.164675645458985,17.325,18.014583333333334
35000.0,15.265455215705423,15.797268653919271,16.7,17.41875
40000.0,15.5612482399394,16.16427451309409,17.091666666666665,17.925
45000.0,14.290366264386106,14.895411600929368,15.841666666666669,16.9125
50000.0,14.838832191610566,15.351402646084395,16.858333333333334,17.870833333333334
55000.0,13.783559595365535,14.405089524853466,15.775,16.608333333333334
60000.0,14.298160049863764,14.875001515449732,16.758333333333333,17.372916666666665
65000.0,14.387830003134198,15.021768859896383,16.816666666666666,18.0375
70000.0,14.416989115639545,14.967040836690368,16.416666666666664,17.147916666666667
75000.0,13.625549489787398,14.189881112428033,15.491666666666667,16.34375
80000.0,13.093765765046312,13.534231613663236,15.691666666666668,16.322916666666668
85000.0,13.162753339675277,13.705185942882714,15.258333333333333,16.172916666666666
90000.0,13.217979250717612,13.771841543404529,15.491666666666667,16.01875
95000.0,13.344681434419686,13.859520135055831,16.241666666666667,16.702083333333334
100000.0,12.862230135104916,13.32503301714456,15.049999999999999,15.904166666666667
105000.0,13.024452743002996,13.573381789700962,15.466666666666667,16.49375
110000.0,12.655874087748225,13.16029849070178,15.341666666666667,15.870833333333334
115000.0,12.556117848963677,12.985988225504899,15.183333333333332,15.687499999999998
120000.0,12.344960962172335,12.686991618065363,15.066666666666666,15.264583333333334
125000.0,12.71092299400437,13.27431430303946,15.375,16.3125
130000.0,12.108601187555056,12.573828400717693,14.866666666666667,15.354166666666666
135000.0,12.533878064406839,13.019826296601941,15.575,15.916666666666668
140000.0,12.768584843172045,13.424149816707285,15.375,16.287499999999998
145000.0,12.08755657779015,12.408748136209146,14.866666666666667,15.227083333333333
150000.0,12.354850568751774,12.65867134419641,15.216666666666667,15.395833333333334
155000.0,12.433823076537386,12.824428386967982,14.825,15.154166666666665
160000.0,12.466426864908168,12.795160890695215,15.049999999999999,15.23125
165000.0,12.226884647457151,12.745321831173381,14.783333333333335,15.525
170000.0,12.138890750842002,12.759909494845404,14.933333333333335,15.729166666666666
175000.0,12.377015639026615,12.914855752909975,15.158333333333331,15.920833333333334
180000.0,11.898197208140012,12.363558216114201,14.558333333333334,15.39375
185000.0,11.795048873913816,12.220218081000073,14.6,14.872916666666667
190000.0,11.865423258776882,12.40252758584714,14.625,15.141666666666667
195000.0,11.643087690243993,12.058940260762506,14.633333333333335,15.24375
0.0,189.49771056358148,189.52097173173198,91.30833333333334,91.60208333333333
5000.0,38.32194415371772,38.46491469380794,48.3,49.079166666666666
10000.0,27.31825412007836,27.653886279910378,29.916666666666668,31.366666666666664
15000.0,21.9686315659046,22.48835675299311,21.458333333333332,22.841666666666665
20000.0,19.862592953136968,20.51729542950331,20.666666666666668,21.987499999999997
25000.0,18.195633339251422,18.887924452301082,18.083333333333336,19.583333333333332
30000.0,15.846305257144506,16.35350335148514,16.758333333333333,17.622916666666665
35000.0,15.30871669850149,16.041134014477826,15.933333333333334,17.129166666666666
40000.0,14.877683728181992,15.534194828840025,16.308333333333334,17.325
